Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Conf,,,
25,Detroit Pistons*,82,19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778,18-19,East,,,
26,Miami Heat,82,19730,3251,7218,0.45,928,2658,0.349,2323,4560,0.509,1238,1782,0.695,921,2879,3800,1991,627,448,1208,1712,8668,18-19,East,,,
27,Chicago Bulls,82,19905,3266,7205,0.453,745,2123,0.351,2521,5082,0.496,1328,1695,0.783,718,2799,3517,1796,603,351,1159,1663,8605,18-19,East,,,
28,New York Knicks,82,19780,3134,7241,0.433,823,2421,0.34,2311,4820,0.479,1484,1956,0.759,857,2811,3668,1646,557,422,1151,1713,8575,18-19,East,,,
29,Cleveland Cavaliers,82,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,18-19,East,,,
30,Memphis Grizzlies,82,19880,3113,6924,0.45,811,2368,0.342,2302,4556,0.505,1453,1882,0.772,723,2703,3426,1963,684,448,1147,1801,8490,18-19,West,,,
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Conf,,,
1,Golden State Warriors*,82,19730,3509,6981,0.503,926,2370,0.391,2583,4611,0.56,1360,1668,0.815,691,2877,3568,2402,656,612,1267,1607,9304,17-18,West,,,
2,Houston Rockets*,82,19755,3174,6906,0.46,1256,3470,0.362,1918,3436,0.558,1609,2061,0.781,739,2825,3564,1767,699,392,1135,1597,9213,17-18,West,,,
3,New Orleans Pelicans*,82,19955,3500,7241,0.483,837,2312,0.362,2663,4929,0.54,1324,1716,0.772,712,2924,3636,2195,657,485,1223,1570,9161,17-18,West,,,
4,Toronto Raptors*,82,19830,3383,7169,0.472,968,2705,0.358,2415,4464,0.541,1422,1790,0.794,800,2807,3607,1995,626,500,1095,1783,9156,17-18,East,,,
5,Cleveland Cavaliers*,82,19730,3311,6950,0.476,981,2636,0.372,2330,4314,0.54,1488,1909,0.779,694,2761,3455,1916,582,312,1126,1524,9091,17-18,East,,,
6,Denver Nuggets,82,19880,3338,7102,0.47,940,2536,0.371,2398,4566,0.525,1404,1830,0.767,902,2748,3650,2059,627,404,1227,1533,9020,17-18,West,,,
7,Philadelphia 76ers*,82,19780,3349,7098,0.472,901,2445,0.369,2448,4653,0.526,1405,1868,0.752,893,2996,3889,2221,682,420,1353,1811,9004,17-18,East,,,
8,Minnesota Timberwolves*,82,19805,3365,7063,0.476,658,1845,0.357,2707,5218,0.519,1592,1980,0.804,848,2593,3441,1861,689,345,1021,1495,8980,17-18,West,,,
9,Los Angeles Clippers,82,19705,3302,7004,0.471,777,2196,0.354,2525,4808,0.525,1556,2095,0.743,832,2766,3598,1832,628,373,1204,1638,8937,17-18,West,,,
10,Charlotte Hornets,82,19780,3197,7106,0.45,824,2233,0.369,2373,4873,0.487,1656,2216,0.747,827,2901,3728,1770,559,373,1041,1409,8874,17-18,East,,,
11,Los Angeles Lakers,82,19905,3338,7248,0.461,822,2384,0.345,2516,4864,0.517,1364,1910,0.714,876,2927,3803,1949,633,388,1295,1736,8862,17-18,West,,,
12,Oklahoma City Thunder*,82,19830,3271,7221,0.453,881,2491,0.354,2390,4730,0.505,1421,1985,0.716,1024,2671,3695,1750,743,412,1147,1653,8844,17-18,West,,,
13,Washington Wizards*,82,19855,3275,7018,0.467,814,2173,0.375,2461,4845,0.508,1378,1786,0.772,823,2713,3536,2065,645,353,1196,1746,8742,17-18,East,,,
14,Brooklyn Nets,82,19855,3136,7114,0.441,1041,2924,0.356,2095,4190,0.5,1428,1850,0.772,792,2852,3644,1941,512,390,1245,1688,8741,17-18,East,,,
15,Milwaukee Bucks*,82,19830,3257,6807,0.478,718,2024,0.355,2539,4783,0.531,1499,1915,0.783,688,2579,3267,1905,722,443,1134,1752,8731,17-18,East,,,
16,Portland Trail Blazers*,82,19755,3222,7132,0.452,845,2308,0.366,2377,4824,0.493,1372,1715,0.8,835,2893,3728,1599,573,423,1109,1599,8661,17-18,West,,,
17,Indiana Pacers*,82,19755,3345,7083,0.472,741,2010,0.369,2604,5073,0.513,1225,1573,0.779,788,2684,3472,1819,721,340,1089,1544,8656,17-18,East,,,
